,Table Number,vendor,confirmed_neighbors,neighbor_success_rate,distance_penalty,best_fitness,VEND_NUMB,N_ONE,ONE_IS_CARER,ONE_SHARE_CARD_READER,N_TWO,TWO_IS_CARER,TWO_SHARE_CARD_READER,N_THREE,THREE_IS_CARER,THREE_SHARE_CARD_READER,DISTANCE_ONE,DISTANCE_TWO,DISTANCE_THREE,neighbour_one_confirmed,neighbour_two_confirmed,neighbour_three_confirmed,DISTANCE_ONE_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_ONE,DISTANCE_TWO_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_TWO,DISTANCE_THREE_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_THREE
164,165,Vendor68,"[0, 0, 0]",,,80.08618851834932,Vendor68,,,,,,,,,,,,,0,0,0,,0,,0,,0
165,166,Vendor180,"[0, 0, 0]",,,80.08618851834932,Vendor180,,,,,,,,,,,,,0,0,0,,0,,0,,0
166,167,Vendor87,"[0, 0, 0]",,,80.08618851834932,Vendor87,,,,,,,,,,,,,0,0,0,,0,,0,,0
167,168,Vendor45,"[0, 0, 0]",,,80.08618851834932,Vendor45,,,,,,,,,,,,,0,0,0,,0,,0,,0
168,169,Vendor15,"[0, 0, 0]",,,80.08618851834932,Vendor15,,,,,,,,,,,,,0,0,0,,0,,0,,0
169,170,Vendor100,"[0, 0, 0]",,,80.08618851834932,Vendor100,,,,,,,,,,,,,0,0,0,,0,,0,,0
170,171,Vendor97,"[0, 0, 0]",,,80.08618851834932,Vendor97,,,,,,,,,,,,,0,0,0,,0,,0,,0
171,172,Vendor88,"[0, 0, 0]",,,80.08618851834932,Vendor88,,,,,,,,,,,,,0,0,0,,0,,0,,0
172,173,Vendor80,"[0, 0, 0]",,,80.08618851834932,Vendor80,,,,,,,,,,,,,0,0,0,,0,,0,,0
173,174,Vendor40,"[0, 0, 0]",,,80.08618851834932,Vendor40,,,,,,,,,,,,,0,0,0,,0,,0,,0
174,175,Vendor123,"[0, 0, 0]",,,80.08618851834932,Vendor123,,,,,,,,,,,,,0,0,0,,0,,0,,0
175,176,Vendor25,"[0, 0, 0]",,,80.08618851834932,Vendor25,,,,,,,,,,,,,0,0,0,,0,,0,,0
176,177,Vendor197,"[0, 0, 0]",,,80.08618851834932,Vendor197,,,,,,,,,,,,,0,0,0,,0,,0,,0
177,178,Vendor3,"[0, 0, 0]",100.0,0.0,80.08618851834932,Vendor3,Vendor7,N,Y,,,,,,,,,,0,0,0,,0,,0,,0
178,179,Vendor167,"[0, 0, 0]",,,80.08618851834932,Vendor167,,,,,,,,,,,,,0,0,0,,0,,0,,0
179,180,Vendor10,"[0, 0, 0]",100.0,1.0058626465661642,80.08618851834932,Vendor10,,,,,,,,,,Vendor8,,,0,0,0,84.0,96,,0,,0
180,181,Vendor9,"[1, 0, 0]",50.0,0.0,80.08618851834932,Vendor9,Vendor10,N,Y,Vendor8,N,N,Vendor2,N,N,,,,1,0,0,,0,,0,,0
181,182,Vendor108,"[0, 0, 0]",,,80.08618851834932,Vendor108,,,,,,,,,,,,,0,0,0,,0,,0,,0
182,183,Vendor137,"[0, 0, 0]",,,80.08618851834932,Vendor137,,,,,,,,,,,,,0,0,0,,0,,0,,0
183,184,Vendor92,"[0, 0, 0]",,,80.08618851834932,Vendor92,,,,,,,,,,,,,0,0,0,,0,,0,,0
